asn,google_total_hits,facebook_total_hits,wikipedia_total_hits,imgur_total_hits,youtube_total_hits,total_hits
54650,0,0,0,0,0,0
5466,20478,5976,1676,28,9131,37289
54665,0,0,0,0,0,0
5467,514,1,0,0,114,629
5470,144,0,15,0,1,160
54755,896,50,63,6,286,1301
5479,469,9,24,1,12,515
54804,0,0,0,0,0,0
54809,0,0,0,0,0,0
54816,0,0,0,0,0,0
54825,2,0,0,5,0,7
5483,1939,1,1191,0,11,3142
54841,973,10,104,10,209,1306
54858,5924,487,551,154,1756,8872
54885,526,4,0,0,6,536
54904,95,0,0,1,5,101
54911,0,0,25,1,0,26
54923,0,0,0,0,0,0
54932,0,0,0,0,0,0
54933,0,0,0,0,0,0
54934,166,0,0,1,19,186
54936,0,0,8,4,34,46
54938,0,0,0,0,0,0
5495,230,0,54,0,0,284
54973,0,0,0,0,0,0
54979,0,0,0,0,0,0
54980,751,1,69,3,91,915
54989,0,0,22,0,0,22
54994,305,1,0,0,0,306
55,0,0,0,0,0,0
55003,466,21,68,1,132,688
55009,0,0,0,0,0,0
5503,0,0,0,0,0,0
55039,948,47,17,4,108,1124
55076,0,0,0,0,0,0
55081,66,0,12,91,0,169
55120,0,0,0,0,0,0
5513,0,0,29,0,0,29
55140,1,0,0,0,0,1
55142,0,0,0,0,0,0
55145,1,0,166,1,0,168
55178,0,0,0,0,0,0
5518,2373,18,438,3,529,3361
55183,0,0,0,0,0,0
55193,782,13,10,5,377,1187
55194,0,0,0,0,0,0
55214,1346,173,181,34,777,2511
5523,1,37,11,0,0,49
55230,33,0,0,0,0,33
55236,59,0,9,0,8,76
5524,0,0,80,0,0,80
55246,1208,10,33,0,254,1505
